DATE,Close Price,Net Change,Percentage change
17-Apr-15,17325.89,-834.98,-4.597687225
24-Apr-15,16482.74,-843.15,-4.866416675
08-May-15,16225.73,-257.01,-1.559267452
15-May-15,16537.55,311.82,1.921762534
22-May-15,17082.85,545.3,3.297344528
29-May-15,16900.3,-182.55,-1.0686156
05-Jun-15,15912.82,-987.48,-5.842973202
12-Jun-15,15435.41,-477.41,-3.00015962
19-Jun-15,16126.35,690.94,4.476330723
26-Jun-15,16424.58,298.23,1.849333544
03-Jul-15,16664.65,240.07,1.46165077
10-Jul-15,17055.35,390.7,2.344483683
17-Jul-15,17860.87,805.52,4.722975489
24-Jul-15,16836.82,-1024.05,-5.733483307
31-Jul-15,17047.69,210.87,1.252433654
07-Aug-15,17521.15,473.46,2.777267771
14-Aug-15,18058.72,537.57,3.068120529
21-Aug-15,18440.45,381.73,2.113826451
28-Aug-15,17645.72,-794.73,-4.309710446
04-Sep-15,17136.22,-509.5,-2.887385723
11-Sep-15,16920.52,-215.7,-1.258737341
18-Sep-15,17438.45,517.93,3.060957937
24-Sep-15,17616.77,178.32,1.022567946
01-Oct-15,18039.28,422.51,2.398339764
09-Oct-15,18212.88,173.6,0.962344395
16-Oct-15,18162.98,-49.9,-0.273981929
23-Oct-15,18255.66,92.68,0.510268689
30-Oct-15,18066.44,-189.22,-1.036500461
06-Nov-15,16970.39,-1096.05,-6.066773531
13-Nov-15,16345.62,-624.77,-3.681530006
20-Nov-15,16449.65,104.03,0.636439609
27-Nov-15,16366.18,-83.47,-0.50742721
04-Dec-15,16506.02,139.84,0.854444959
11-Dec-15,16141.53,-364.49,-2.208224636
18-Dec-15,16523.2,381.67,2.364521827
24-Dec-15,16725.66,202.46,1.225307446
01-Jan-16,16944.55,218.89,1.308707698
08-Jan-16,16277.75,-666.8,-3.9351886
15-Jan-16,15651.12,-626.63,-3.849610665
22-Jan-16,15544.79,-106.33,-0.6793763
29-Jan-16,16304.98,760.19,4.890320165
05-Feb-16,16039.89,-265.09,-1.625822295
12-Feb-16,15110.65,-929.24,-5.793306563
19-Feb-16,15469.1,358.45,2.372167974
26-Feb-16,15172.16,-296.94,-1.919568689
04-Mar-16,15824.07,651.91,4.296751418
11-Mar-16,15992.02,167.95,1.061357792
18-Mar-16,15268.94,-723.08,-4.521505101
28-Mar-16,15147.98,-120.96,-0.792196446
01-Apr-16,15110.48,-37.5,-0.24755776
08-Apr-16,15217.65,107.17,0.709242857
18-Apr-16,15617.78,400.13,2.629381015
22-Apr-16,15588.81,-28.97,-0.185493713
29-Apr-16,15582.33,-6.48,-0.041568279
06-May-16,15363.35,-218.98,-1.405309732
13-May-16,15432,68.65,0.446842648
20-May-16,15274.89,-157.11,-1.018079316
27-May-16,15463.98,189.09,1.237913988
03-Jun-16,15056.91,-407.07,-2.632375365
10-Jun-16,14910.68,-146.23,-0.971182002
17-Jun-16,14844.35,-66.33,-0.444848927
24-Jun-16,14925.72,81.37,0.548154685
01-Jul-16,15653.87,728.15,4.878491624
08-Jul-16,16039.84,385.97,2.465652264
15-Jul-16,16060.49,20.65,0.128741933
22-Jul-16,16367.94,307.45,1.914325154
29-Jul-16,16299.15,-68.79,-0.420272802
05-Aug-16,16307.34,8.19,0.050248019
12-Aug-16,15961.34,-346,-2.121743951
19-Aug-16,16201.37,240.03,1.503821108
26-Aug-16,16055.67,-145.7,-0.899306664
02-Sep-16,16232.58,176.91,1.101853738
09-Sep-16,16587.1,354.52,2.184002789
16-Sep-16,16474.79,-112.31,-0.677092439
23-Sep-16,16613.89,139.1,0.844320322
30-Sep-16,16181.12,-432.77,-2.604868577
07-Oct-16,16240.25,59.13,0.365425879
14-Oct-16,16156.29,-83.96,-0.516987115
21-Oct-16,16341.83,185.54,1.148407215
28-Oct-16,16374.08,32.25,0.197346319
04-Nov-16,15150.31,-1223.77,-7.473824484
11-Nov-16,15477.08,326.77,2.156853556
18-Nov-16,15207,-270.08,-1.745032009
25-Nov-16,15626.55,419.55,2.75892681
02-Dec-16,15624.48,-2.07,-0.013246686
09-Dec-16,15544.4,-80.08,-0.512529057
16-Dec-16,15219.55,-324.85,-2.089820128
23-Dec-16,14572.22,-647.33,-4.253279499
30-Dec-16,14727.59,155.37,1.066206796
